label,GDP Per Capita
2018,46232.98962
2017,45069.92725
2016,42279.90082
2015,43495.05439
2014,50835.51118
2013,52504.6557
2012,52542.34666
2011,52101.79609
2010,47450.31847
2009,40773.06153
2008,46594.45095
2007,44543.04104
2006,40385.86996
2005,36266.18712
2004,32034.30774
2003,28200.65808
2002,24169.28473
2001,23738.18072
2000,24190.24962
1999,22238.66454
1998,20952.06946
1997,21829.23344
1996,21227.34753
1995,20613.78788
1994,19935.38146
1993,20121.16125
1992,20879.84833
1991,21768.34329
1990,21448.36196
1989,20715.63148
1988,18936.9641
1987,16308.96697
1986,14461.06924
1985,14114.80776
1984,13877.91708
1983,13425.12249
1982,12481.87479
1981,12337.46625
1980,11170.56397
1979,10043.66094
1978,9123.69133
1977,8919.057457
1976,8809.264639
1975,7511.211347
1974,7033.011034
1973,5838.660912
1972,5089.587925
1971,4520.162865
1970,4121.932809
1969,3763.953379
1968,3462.678872
1967,3217.159294
1966,3047.106147
1965,2770.361804
1964,2555.111146
1963,2374.498448
1962,2268.585346
1961,2240.433039
1960,2259.294285
